Title,Note,URL,Comment
Sri Trat Restaurant and Bar,"Authentic Eastern Thai cuisine, good massaman curry",https://www.google.com/maps/place/Sri+Trat+Restaurant+and+Bar/data=!4m2!3m1!1s0x30e29efc3bbbcfa1:0x1ae0f08f959b616b,
Aunglo by Yangrak อั้งโล่ บาย ย่างแรก,"Thai izakaya, unique concept and dishes",https://www.google.com/maps/place/Aunglo+by+Yangrak+%E0%B8%AD%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%A5%E0%B9%88+%E0%B8%9A%E0%B8%B2%E0%B8%A2+%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%81/data=!4m2!3m1!1s0x30e2996980abb9c9:0xd5e69d934fcf4dac,
Okonomiyaki se-chan お好み焼き せーちゃん,"This Japanese dude just makes okonomiyaki out of his garage, and there’s only like 6 seats ",https://www.google.com/maps/place/Okonomiyaki+se-chan+%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D+%E3%81%9B%E3%83%BC%E3%81%A1%E3%82%83%E3%82%93/data=!4m2!3m1!1s0x30e29f00246c2e35:0xfcc60ab991ecbd23,
Tulum Skybar,,https://www.google.com/maps/place/Tulum+Skybar/data=!4m2!3m1!1s0x30e29f6b72ac5be1:0x7033bc52781c9104,
Octave Rooftop Lounge & Bar,,https://www.google.com/maps/place/Octave+Rooftop+Lounge+%26+Bar/data=!4m2!3m1!1s0x30e29fa536211b87:0xc11941c85b448c81,
เดอะดั้ก,,https://www.google.com/maps/place/%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%94%E0%B8%B1%E0%B9%89%E0%B8%81/data=!4m2!3m1!1s0x30e29f4796dfc8b5:0xee1c1d5650d2e74e,
Tang Sui Heng Restaurant,"This Thai Chinese restaurant specializes in duck and has been a mainstay in the Michelin guide. Get their duck clay pot, very generous with the meat",https://www.google.com/maps/place/Tang+Sui+Heng+Restaurant/data=!4m2!3m1!1s0x30e29929d8d4dab7:0xa56ec46cf5ccef1e,
Gui Chai Ar Pae,"fried chives with eggs. She adds sweet soy sauce and chilis on top, really good and unique street snack",https://www.google.com/maps/place/Gui+Chai+Ar+Pae/data=!4m2!3m1!1s0x30e29904a51efef1:0xfa9428f2665a8230,
Jeh O Chula,Tom Yum Mama,https://www.google.com/maps/place/Jeh+O+Chula/data=!4m2!3m1!1s0x30e2992eeb145315:0xd37af0e1dfbbcd7c,
Tuay Tung Ice-cream (Chula 12),"homemade Asian ice cream and soft Chinese buns, available steamed or deep-fried.",https://www.google.com/maps/place/Tuay+Tung+Ice-cream+(Chula+12)/data=!4m2!3m1!1s0x30e2994509b4ef31:0x70db4216ca744926,
Heng HoiTod Chawlae,crispy oyster omelette,https://www.google.com/maps/place/Heng+HoiTod+Chawlae/data=!4m2!3m1!1s0x30e299022c8efedb:0x1dea04811c4c9296,
Kuay Teow Khae -Street Noodle Soup,"Dry Tom yum, very popular with the local office workers",https://www.google.com/maps/place/Kuay+Teow+Khae+-Street+Noodle+Soup/data=!4m2!3m1!1s0x30e29f2c47dadb0b:0x2dacd9b8cc3fab4a,
True Digital Park,Huge public coworking space + mall + offices. Lots of young people working,https://www.google.com/maps/place/True+Digital+Park/data=!4m2!3m1!1s0x30e29ed269181bb1:0x60c3178ba983c76,
Beirut Sukhumvit 39,"Reaaaally good middle eastern restaurant and bakery, specializing in lots of Lebanese dishes",https://www.google.com/maps/place/Beirut+Sukhumvit+39/data=!4m2!3m1!1s0x30e29efeeab23437:0x8cfb1bd272f685ac,
榮記豆腐麵食,Restaurant specializing in silken tofu dishes. Get their doufu hua and fried pork ribs,https://www.google.com/maps/place/%E6%A6%AE%E8%A8%98%E8%B1%86%E8%85%90%E9%BA%B5%E9%A3%9F/data=!4m2!3m1!1s0x34017ae4e379a377:0xb7d2730df52fc8c8,
