Title,Note,URL,Comment
AGORA souvla bar,,https://www.google.com/maps/place/AGORA+souvla+bar/data=!4m2!3m1!1s0x48760355467ce93b:0x1aeee3ddc86c07b5,
Satan's Whiskers,"Taxidermies, Jade’s rec ",https://www.google.com/maps/place/Satan's+Whiskers/data=!4m2!3m1!1s0x48761cdb74a3d17f:0x3a88fa1617bd2f3e,
The Dusty Knuckle Bakery,,https://www.google.com/maps/place/The+Dusty+Knuckle+Bakery/data=!4m2!3m1!1s0x48761c8dee275939:0x40791652767d2607,
Beigel Bake,,https://www.google.com/maps/place/Beigel+Bake/data=!4m2!3m1!1s0x48761dad861a488d:0xc9e1e09acd76b50c,
The Mayor of Scaredy Cat Town,,https://www.google.com/maps/place/The+Mayor+of+Scaredy+Cat+Town/data=!4m2!3m1!1s0x48761cb3bd814cf3:0x35f642aa1d1eac9b,
Cahoots Underground,,https://www.google.com/maps/place/Cahoots+Underground/data=!4m2!3m1!1s0x487604d507ab69fb:0xbbfbc270f421a878,
Bar Termini,Known for Negronis ,https://www.google.com/maps/place/Bar+Termini/data=!4m2!3m1!1s0x487604d2987133ef:0x18568082574f9ffb,
De Vine,,https://www.google.com/maps/place/De+Vine/data=!4m2!3m1!1s0x4876034b8f3b8dfb:0x820f54772faa9fea,
The Wolseley,"Breakfast or lunch, Spring's and James O'Neill's rec",https://www.google.com/maps/place/The+Wolseley/data=!4m2!3m1!1s0x4876052f571cfeaf:0x5350dedd3b5bb322,
Marylebone High St,"Spring's rec, good for shopping",https://www.google.com/maps/place/Marylebone+High+St/data=!4m2!3m1!1s0x48761ad268c3f3f1:0xd88f6373830b3c2e,
Columbia Road Flower Market,"Spring's rec, open on Sundays only",https://www.google.com/maps/place/Columbia+Road+Flower+Market/data=!4m2!3m1!1s0x48761cb35fc4ef51:0xdbbae99319852b53,
Layla Bakery,,https://www.google.com/maps/place/Layla+Bakery/data=!4m2!3m1!1s0x487611148abd395d:0xe70a99dc5a334985,
Cromwell Place Café,"Spring's rec, good WFH spot",https://www.google.com/maps/place/Cromwell+Place+Caf%C3%A9/data=!4m2!3m1!1s0x487605434d9c859b:0x51601892bdd21a70,
